parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodine_peak_M,1.167104127395039,0.00025406731333211635,0.00026621110881416295,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodide_min_M,-0.1361558923778471,9.348138185458862e-11,9.297357657029634e-11,OK
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodide_max_M,0.3655656290051914,8.309109427033162e-06,8.431519539848045e-06,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,mean_period_s,4.1539758519527964e-10,526.8695428428263,526.869542845015,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodine_peak_M,1.598707832695111e-12,0.00026016005094284733,0.00026016005094285145,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodide_min_M,-2.6147754774746705e-10,9.322249661936354e-11,9.322249661911979e-11,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodide_max_M,2.8421472581246415e-12,8.371544142620026e-06,8.371544142620267e-06,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,mean_period_s,3.325673230140959e-10,526.8695428430547,526.8695428465595,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodine_peak_M,1.3322232194449028e-12,0.0002601600509428453,0.00026016005094285226,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodide_min_M,-2.2825424493156e-10,9.32224966193745e-11,9.322249661894894e-11,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodide_max_M,2.309186913704498e-12,8.371544142620026e-06,8.371544142620404e-06,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,mean_period_s,2.732782583537036e-10,526.8695428409712,526.8695428467313,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodine_peak_M,1.3764929740782862e-12,0.00026016005094284153,0.00026016005094285606,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodide_min_M,-1.7512542870208905e-10,9.322249661956587e-11,9.32224966189125e-11,OK
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodide_max_M,1.5985079698973644e-12,8.371544142620045e-06,8.371544142620575e-06,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,mean_period_s,-7.176250409758215e-07,526.8695596343612,526.8695558533817,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodine_peak_M,-4.8181501393357985e-09,0.0002601600505612291,0.0002601600505486939,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodide_min_M,7.611877866234214e-07,9.322249722528832e-11,9.322249793489231e-11,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodide_max_M,-9.170365762542788e-09,8.371544138517068e-06,8.37154413774936e-06,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,mean_period_s,2.039713682363313e-08,526.8695572244105,526.8695574393502,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodine_peak_M,5.504391083221153e-08,0.0002601600505776038,0.00026016005086401743,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodide_min_M,-2.444698883288808e-07,9.322249761740339e-11,9.32224971615862e-11,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodide_max_M,1.5154305565829658e-08,8.371544138713495e-06,8.371544141250884e-06,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,mean_period_s,1.874180437965981e-07,526.8695452102868,526.8695491606079,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodine_peak_M,-2.3841080326031734e-08,0.0002601600509046854,0.0002601600506565523,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodide_min_M,-3.4956172285715564e-07,9.322249758064172e-11,9.322249627698719e-11,OK
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodide_max_M,-5.020380697457656e-09,8.371544141526972e-06,8.371544139845617e-06,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.005,mean_period_s,-0.8062357582064682,529.0047157531951,524.7568022816405,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.005,iodine_peak_M,-0.26969547771574365,0.00026051104478624074,0.00025980939901117,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.005,iodide_min_M,-0.09987662939993806,9.326917644674385e-11,9.31760680656277e-11,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.005,iodide_max_M,0.8868037987208038,8.334399520094425e-06,8.408638601268472e-06,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.01,mean_period_s,-0.8062399021580946,531.1626140034953,522.6661270710983,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.01,iodine_peak_M,-0.2696889102864524,0.00026086238170716696,0.00025945908902734596,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.01,iodide_min_M,-0.09987653713295108,9.331610741237587e-11,9.312988546542568e-11,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.01,iodide_max_M,0.8868056716892558,8.29720485753966e-06,8.445682791884596e-06,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.02,mean_period_s,-0.8062557894007727,535.5479913073349,518.5497499649949,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.02,iodine_peak_M,-0.269661808324987,0.0002615660824609525,0.00025875949669303724,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.02,iodide_min_M,-0.09987518850860715,9.341073451054755e-11,9.303825278142704e-11,OK
k9_DKE,R9,SUBSYSTEM_FIT,forward,0.02,iodide_max_M,0.8868134781945383,8.222665808255597e-06,8.519619958193647e-06,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.005,mean_period_s,-0.3790591801920649,527.8732059303977,525.8760250803464,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.005,iodine_peak_M,-0.9041746737519424,0.0002613419747849858,0.0002589896179674496,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.005,iodide_min_M,0.8666075888401218,9.28183265775727e-11,9.362619945966724e-11,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.005,iodide_max_M,-0.2806364579601299,8.383310501369371e-06,8.359816661494545e-06,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.01,mean_period_s,-0.37906804253279924,528.8871292264039,524.8924734890707,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.01,iodine_peak_M,-0.9041762391490087,0.00026253556229355524,0.00025783050731794727,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.01,iodide_min_M,0.8666116422101875,9.241368891406332e-11,9.402944018713367e-11,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.01,iodide_max_M,-0.28063042522163445,8.395115943872325e-06,8.348127864618708e-06,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.02,mean_period_s,-0.37910427432263727,530.9464130100289,522.9547319255075,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.02,iodine_peak_M,-0.9041831276381086,0.00026495843841923693,0.0002555455902020347,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.02,iodide_min_M,0.866618720210639,9.160300507074768e-11,9.4834517294816e-11,OK
k10_DKE,R10,MEASURED_DERIVED,forward,0.02,iodide_max_M,-0.28060640252557406,8.418844905986974e-06,8.324865513934452e-06,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.005,mean_period_s,0.2443110915533076,526.2261904544946,527.5134018911593,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.005,iodine_peak_M,0.1932541502811404,0.0002599079157993219,0.0002604106884813736,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.005,iodide_min_M,0.0001302853909904334,9.322243697120594e-11,9.322255842751382e-11,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.005,iodide_max_M,-0.6248126718289053,8.39776741468747e-06,8.34546024491629e-06,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.01,mean_period_s,0.24430445581723936,525.5832944471142,528.1577113713452,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.01,iodine_peak_M,0.19325586532798564,0.0002596542711535673,0.00026065984096134293,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.01,iodide_min_M,0.00013154756583946055,9.322237486167916e-11,9.322262013370753e-11,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.01,iodide_max_M,-0.6247968911835287,8.4241308508982e-06,8.319514946538103e-06,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.02,mean_period_s,0.2442750371985703,524.2989828726375,529.4477087195271,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.02,iodine_peak_M,0.19326193005693199,0.00025914240818716773,0.00026115373511202575,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.02,iodide_min_M,0.00013155713896283037,9.322225204247111e-11,9.322274267129694e-11,OK
C9_DKE,R9,SUBSYSTEM_FIT,saturation denominator,0.02,iodide_max_M,-0.6247340355141958,8.477281386239252e-06,8.268036967991103e-06,OK
